Cod_Febraban,Seg_Febraban,Nome_Convênio,CNPJ,Grade,Descricao_Conv,
0445,2,LAGOA PRATA,18423582000184,"Estendida, até 23:59",SANEAMENTO,
0463,2,PM B JESUS PERDOES,52359692000162,"Estendida, até 23:59",SANEAMENTO,
0467,2,SANEAR COLATINA,6698248000154,"Estendida, até 23:59",SANEAMENTO,
0477,2,AGUAS DE MANAUS,3264927000127,"Restrita, até 20:45",SANEAMENTO,
0478,2,SAAE ITABIRA,20959219000120,"Estendida, até 23:59",SANEAMENTO,
0479,2,AGUAS DE NITEROI,2150336000166,"Estendida, até 23:59",SANEAMENTO,
0488,2,SAAEC CRATO,7172885000155,"Estendida, até 23:59",SANEAMENTO,
0498,2,SAAE PARINTINS,4597340000100,"Estendida, até 23:59",SANEAMENTO,
0504,2,SAAE S FE SUL,51337970000118,"Estendida, até 23:59",SANEAMENTO,
0513,2,DMAAE OURO FINO,41779117000100,"Estendida, até 23:59",SANEAMENTO,
0527,2,AGUAS DE SORRISO,4002227000127,"Estendida, até 23:59",SANEAMENTO,
0533,2,SAMAE ARARANGUA,82568221000125,"Estendida, até 23:59",SANEAMENTO,
0534,2,AGUAS GUARIROBA,4089570000150,"Restrita, até 20:45",SANEAMENTO,
0554,2,A.PEI0OTO AZEVEDO,3629871000167,"Estendida, até 23:59",SANEAMENTO,
0614,2,A PONTES E LACERDA,4202450000118,"Estendida, até 23:59",SANEAMENTO,
0622,2,SANESSOL,9263541000187,"Estendida, até 23:59",SANEAMENTO,
0626,2,COSMOPOLIS-CTA AGUA,44730331000152,"Estendida, até 23:59",SANEAMENTO,
0632,2,DAP MUN CPO NOVO PAR,24772287000136,"Estendida, até 23:59",SANEAMENTO,
0641,2,SAAE S PEDRO TURVO,6146346000189,"Estendida, até 23:59",SANEAMENTO,
0646,2,AGUAS CANARANA,3875686000152,"Estendida, até 23:59",SANEAMENTO,
0661,2,SAAEB BROTAS,7104377000130,"Estendida, até 23:59",SANEAMENTO,
0689,2,SAAE B.J.ITABAPOANA,2174161000127,"Estendida, até 23:59",SANEAMENTO,
0693,2,SAAE LAJINHA,21073101000162,"Estendida, até 23:59",SANEAMENTO,
0709,2,SAE RANCHARIA,44935278000126,"Estendida, até 23:59",SANEAMENTO,
0710,2,SAE CATALAO,4750108000152,"Estendida, até 23:59",SANEAMENTO,
0715,2,AGUAS STA CARMEM,4776975000167,"Estendida, até 23:59",SANEAMENTO,
